82.97.247.226,2053,AU,Timeweb LLP
158.178.193.78,82,FR,Cloudflare Inc
51.210.101.146,2087,FR,OVH SAS
45.112.195.55,2053,FR,Jules DurandArnaudet
87.98.235.90,2053,FR,OVH SAS
188.165.26.180,8443,FR,OVH SAS
94.23.147.217,2053,FR,OVH SAS
194.36.170.247,443,FR,as56971 network
178.157.82.110,2053,GB,MVPS LTD
18.170.77.148,443,GB,Amazon Data Services UK
94.23.168.201,2053,FR,OVH SAS
95.182.97.147,2053,FR,CGI GLOBAL LIMITED
18.171.236.219,8443,GB,Amazon Data Services UK
94.23.168.201,8443,FR,OVH SAS
18.175.224.91,2053,GB,Amazon Data Services UK
151.80.57.196,8443,FR,OVH SAS
51.159.6.227,8443,FR,Scaleway
188.165.1.138,8443,FR,OVH SAS
94.23.147.217,8443,FR,OVH SAS
94.23.153.168,2053,FR,OVH SAS
95.182.97.147,8443,FR,CGI GLOBAL LIMITED
94.23.153.168,8443,FR,OVH SAS
18.175.224.91,8443,GB,Amazon Data Services UK
178.157.82.110,8443,GB,MVPS LTD
104.194.130.209,8443,GB,RouterHosting LLC
104.238.170.163,2053,GB,Vultr Holdings LLC
78.129.253.115,443,GB,IOMART MANAGED SERVICES LIMITED
82.145.63.59,443,GB,IOMART MANAGED SERVICES LIMITED
109.169.67.45,443,GB,Rapidswitch
91.199.32.11,2053,GB,HR SYSHEAD
104.194.130.209,2053,GB,RouterHosting LLC
43.245.227.108,2053,GB,null
104.238.170.163,8443,GB,Vultr Holdings LLC
185.170.215.115,2053,GB,MVPS LTD
45.61.152.101,8443,GB,RouterHosting LLC
89.185.84.236,2053,GB,GLOBAL CONNECTIVITY SOLUTIONS LLP
109.169.76.23,443,GB,IOMART MANAGED SERVICES LIMITED
89.185.84.236,8443,GB,GLOBAL CONNECTIVITY SOLUTIONS LLP
89.185.84.175,8443,GB,GLOBAL CONNECTIVITY SOLUTIONS LLP
83.136.248.101,443,GB,UpCloud Cloud Servers
130.185.249.100,443,GB,DA International Group Ltd
77.91.101.141,443,GB,WorkTitans BV
45.61.152.101,2053,GB,RouterHosting LLC
192.248.174.82,8443,GB,11 Hanbury St
45.63.100.255,8443,GB,Vultr Holdings LLC
45.63.100.255,2053,GB,Vultr Holdings LLC
139.59.178.158,443,GB,DigitalOcean LLC
83.147.18.1,8443,GB,NET 83 147 18 0 24
147.45.179.28,2053,GB,GLOBAL CONNECTIVITY SOLUTIONS LLP
91.149.238.31,443,GB,BGNETWORK
91.199.32.158,2053,GB,HR SYSHEAD
130.185.144.78,443,GB,Fabriczone
140.228.71.46,443,GB,Hyperoptic Ltd
147.45.179.171,4445,GB,GLOBAL CONNECTIVITY SOLUTIONS LLP
89.47.249.221,8443,GB,Lunarnaut LLC
89.47.249.221,2053,GB,Lunarnaut LLC
130.162.175.14,10086,GB,Oracle Public Cloud
141.147.85.167,8443,GB,Oracle Corporation
91.199.32.105,2053,GB,HR SYSHEAD
45.89.111.90,1024,GB,WorkTitans BV
45.159.248.225,8443,GB,WorkTitans BV
85.190.246.22,2053,GB,Contabo GmbH
89.169.10.77,2053,GB,Medvedev Vladislav Olegovich
45.159.248.225,2053,GB,WorkTitans BV
141.147.106.18,10086,GB,Oracle Corporation
38.180.64.238,2053,GB,3NT SOLUTIONS LLP
84.8.145.58,443,GB,Oracle Svenska AB
87.106.65.110,443,GB,IONOS SE
87.239.250.229,2053,GB,FIRST SERVER LIMITED
87.239.250.252,443,GB,FIRST SERVER LIMITED
87.239.251.30,8443,GB,FIRST SERVER LIMITED
185.44.67.58,443,GB,MASSIVEGRID LTD
103.241.65.11,8445,GB,OMC COMPUTERS  COMMUNICATIONS LTD
91.199.32.132,2053,GB,HR SYSHEAD
5.144.182.111,2053,GB,ahbr company limited
91.199.32.139,2053,GB,HR SYSHEAD
5.144.182.16,8443,GB,ahbr company limited
5.144.182.152,2053,GB,ahbr company limited
91.199.32.141,2053,GB,HR SYSHEAD
91.199.32.173,2053,GB,HR SYSHEAD
91.199.32.110,2053,GB,HR SYSHEAD
91.199.32.20,2053,GB,HR SYSHEAD
91.199.32.215,2053,GB,HR SYSHEAD
91.199.32.179,2053,GB,HR SYSHEAD
91.199.32.31,2053,GB,HR SYSHEAD
91.199.32.229,2053,GB,HR SYSHEAD
91.199.32.224,2053,GB,HR SYSHEAD
91.199.32.250,2053,GB,HR SYSHEAD
91.199.32.65,2053,GB,HR SYSHEAD
91.199.32.99,2053,GB,HR SYSHEAD
91.199.32.89,2053,GB,HR SYSHEAD
91.199.32.45,2053,GB,HR SYSHEAD
91.199.32.86,2053,GB,HR SYSHEAD
91.199.32.53,2053,GB,HR SYSHEAD
5.144.182.158,2053,GB,ahbr company limited
5.144.182.174,2053,GB,ahbr company limited
91.199.32.236,2053,GB,HR SYSHEAD
91.199.32.56,2053,GB,HR SYSHEAD
5.144.182.164,2053,GB,ahbr company limited
91.199.32.243,2053,GB,HR SYSHEAD
5.144.182.111,8443,GB,ahbr company limited
91.199.32.39,2053,GB,HR SYSHEAD
91.199.32.249,2053,GB,HR SYSHEAD
5.144.182.192,2053,GB,ahbr company limited
5.144.182.120,2053,GB,ahbr company limited
91.199.32.81,2053,GB,HR SYSHEAD
5.144.182.37,2053,GB,ahbr company limited
5.144.182.45,2053,GB,ahbr company limited
5.144.182.50,2053,GB,ahbr company limited
5.144.182.69,2053,GB,ahbr company limited
5.144.182.84,2053,GB,ahbr company limited
5.144.182.21,2053,GB,ahbr company limited
5.144.182.226,2053,GB,ahbr company limited
91.199.32.178,2053,GB,HR SYSHEAD
57.128.178.63,443,GB,OVH Ltd
57.128.177.206,8443,GB,OVH Ltd
57.128.176.87,8443,GB,OVH Ltd
67.226.223.157,80,GB,Securly Inc
45.77.89.208,19960,GB,Vultr Holdings LLC
150.107.201.226,42515,GB,Prinode AB
194.146.24.199,8443,GB,OMC COMPUTERS  COMMUNICATIONS LTD
178.62.17.85,443,GB,DigitalOcean LLC
185.156.110.128,2053,HR,WorkTitans BV
5.181.2.84,2053,HR,GLOBAL CONNECTIVITY SOLUTIONS LLP
38.180.225.181,443,HU,3NT SOLUTIONS LLP
38.180.109.174,443,HU,3NT SOLUTIONS LLP
213.159.77.220,443,HR,WorkTitans BV
202.144.192.76,443,HK,Techavenue International Ltd
43.129.171.137,443,HK,6 COLLYER QUAY
47.242.171.138,37021,HK,ALIBABA CLOUD  HK
85.208.104.34,8080,HK,Internet Utilities Europe and Asia Limited
156.255.90.175,2053,HK,StepGo Limited
156.255.90.175,8443,HK,StepGo Limited
2.56.91.89,8443,HK,ihchk vps in Hong Kong
43.132.244.52,21415,HK,6 COLLYER QUAY
156.254.114.120,30011,HK,StepGo Limited
2.56.91.89,2053,HK,ihchk vps in Hong Kong
192.131.142.161,46639,HK,LEASEWEB HONG KONG LIMITED
194.156.99.186,443,HK,FreeNet LLCFZ
5.182.38.15,2053,HU,WorkTitans BV
5.182.38.111,443,HU,WorkTitans BV
213.159.77.161,443,HR,WorkTitans BV
47.57.13.107,443,HK,Alibaba Cloud Singapore Private Limited
34.240.33.147,8443,IE,Amazon Data Services Ireland Limited
34.240.33.147,2053,IE,Amazon Data Services Ireland Limited
193.57.138.106,8443,IE,WorkTitans BV
192.210.183.104,443,IE,RackNerd LLC
85.159.229.121,2053,IE,GLOBAL INTERNET SOLUTIONS LLC
5.182.38.135,443,HU,WorkTitans BV
46.183.186.57,443,HU,EDIS Infrastructure in Hungary
107.172.145.153,443,IE,RackNerd LLC
77.91.72.82,443,HU,WorkTitans BV
95.164.23.71,443,HU,WorkTitans BV
149.129.250.8,443,ID,21F Ciputra World 1 DBS Tower JalanProf DR Satrio Kav 35 Jakarta 12940 Indonesia
103.6.207.108,8080,ID,PT Pusat Media Indonesia
206.84.101.83,8443,ID,PT MITRA VISIONER PRATAMA
43.218.77.16,443,ID,Amazoncom Inc
43.218.77.16,1443,ID,Amazoncom Inc
36.95.152.58,12137,ID,PT Telekomunikasi Indonesia
194.26.213.108,443,IE,MVPS LTD
52.19.138.237,2053,IE,Amazon Data Services Ireland Limited
63.32.194.15,2053,IE,Amazon Data Services Ireland Limited
52.19.178.111,2053,IE,Amazon Data Services Ireland Limited
63.32.194.15,8443,IE,Amazon Data Services Ireland Limited
52.213.11.150,443,IE,Amazon Data Services Ireland Limited
52.19.178.111,8443,IE,Amazon Data Services Ireland Limited
52.19.138.237,8443,IE,Amazon Data Services Ireland Limited
54.229.164.147,8443,IE,Amazoncom Inc
54.246.42.63,8443,IE,Amazon Technologies Inc
54.246.42.63,2053,IE,Amazon Technologies Inc
54.229.164.147,2053,IE,Amazoncom Inc
194.87.245.135,8443,IE,Reliable Communications sro
40.113.60.248,2053,IE,Microsoft Corporation
40.113.60.248,8443,IE,Microsoft Corporation
194.87.245.135,2053,IE,Reliable Communications sro
194.87.245.181,2053,IE,Reliable Communications sro
172.245.97.149,443,IE,HostPapa
194.87.245.181,8443,IE,Reliable Communications sro
23.95.225.214,8443,IE,RackNerd LLC
23.95.225.214,2053,IE,RackNerd LLC
89.221.225.29,8443,IL,WorkTitans BV
212.80.205.244,2053,IL,OMC COMPUTERS  COMMUNICATIONS LTD
185.239.48.207,443,IL,LLC Smart Ape
212.80.205.244,8443,IL,OMC COMPUTERS  COMMUNICATIONS LTD
89.46.239.166,2053,IL,EDIS infrastructure in Israel
77.91.74.81,2053,IL,WorkTitans BV
77.91.74.150,8443,IL,WorkTitans BV
89.46.239.166,8443,IL,EDIS infrastructure in Israel
77.91.74.6,443,IL,WorkTitans BV
185.162.126.175,443,IL,OMC COMPUTERS  COMMUNICATIONS LTD
77.91.74.150,2053,IL,WorkTitans BV
129.159.143.171,2053,IL,Oracle Corporation
129.159.143.171,8443,IL,Oracle Corporation
3.249.49.224,443,IE,Amazon Data Services Ireland Limited
34.253.234.62,443,IE,Amazon Data Services Ireland Limited
82.166.137.24,443,IL,ADSLVIP
64.176.163.9,8443,IL,The Constant Company LLC
129.159.129.107,2053,IL,Oracle Corporation
178.253.23.199,8443,IR,TimeWeb
94.131.114.50,81,IL,WorkTitans BV
94.241.174.229,443,IR,JSC TIMEWEB
65.20.74.136,2053,IN,Vultr Holdings LLC
65.20.82.22,443,IN,Vultr Holdings LLC
172.105.62.71,2443,IN,Linode
94.131.114.54,2053,IL,WorkTitans BV
64.227.174.213,2053,IN,DigitalOcean LLC
128.199.18.189,2053,IN,DigitalOcean LLC
3.109.185.221,443,IN,Amazon Data Services India
134.195.137.107,22473,IN,ReadyDedis LLC
64.227.174.213,8443,IN,DigitalOcean LLC
3.111.217.79,8443,IN,Amazon Data Services India
185.206.93.129,4343,IR,AbrArvan IaaS
65.20.76.125,8443,IN,Vultr Holdings LLC
85.198.11.18,8899,IR,Hetzner Online GmbH
152.70.75.80,15805,IN,Oracle Corporation
172.232.112.240,587,IN,Linode
152.70.76.104,46000,IN,Oracle Corporation
115.242.180.202,19000,IN,Reliance Jio Infocomm Limited
148.113.43.228,2053,IN,OVHTECH RD INDIA PRIVATE LIMITED
87.107.54.78,4343,IR,ParsShabakehAzarakhsh
148.113.43.228,8443,IN,OVHTECH RD INDIA PRIVATE LIMITED
20.235.105.146,443,IN,Microsoft Corporation
94.182.209.5,30000,IR,Aria Shatel PJSC
146.56.48.138,23010,IN,Oracle Corporation  Global software solutions  California  USA
91.92.206.174,465,IR,BHS Solutions GmbH
45.83.21.214,8443,IS,WorkTitans BV
45.83.21.214,2053,IS,WorkTitans BV
45.83.21.10,2053,IS,WorkTitans BV
89.221.224.101,2053,IS,WorkTitans BV
185.47.172.172,8443,IT,OMC COMPUTERS  COMMUNICATIONS LTD
45.83.21.13,2053,IS,WorkTitans BV
89.221.224.101,8443,IS,WorkTitans BV
147.45.51.167,2053,IT,GLOBAL CONNECTIVITY SOLUTIONS LLP
38.180.22.20,1001,IT,3NT SOLUTIONS LLP
80.211.48.113,443,IT,Aruba SpA  Cloud Services DC1
185.247.184.186,8443,IT,GLOBAL INTERNET SOLUTIONS LLC
103.241.66.123,443,IT,OMC COMPUTERS  COMMUNICATIONS LTD
5.249.146.98,443,IT,Aruba SpA  Cloud Services Farm2
94.177.199.119,8443,IT,Aruba SpA  Cloud Services Farm2
94.177.199.119,2053,IT,Aruba SpA  Cloud Services Farm2
77.81.234.27,8443,IT,Aruba SpA  Cloud Services Farm2
185.247.184.186,2053,IT,GLOBAL INTERNET SOLUTIONS LLC
212.237.30.220,443,IT,Aruba SpA  Cloud Services Farm2
89.147.111.223,8443,IS,1984 ehf
95.164.46.119,2053,IT,WorkTitans BV
85.235.151.34,443,IT,Aruba SpA  Cloud Services IT3
194.247.183.208,8800,IS,HOSTKEY BV
77.81.234.27,2053,IT,Aruba SpA  Cloud Services Farm2
45.83.21.13,443,IS,WorkTitans BV
158.180.233.125,55137,IT,Oracle Corporation
129.152.2.127,1488,IT,Oracle Corporation
91.201.67.6,443,IT,Melbikomas UAB
188.213.168.52,443,IT,Aruba SpA  Cloud Services Farm2
80.211.231.169,443,IT,Aruba SpA  Cloud Services Farm2
80.211.55.235,443,IT,Aruba SpA  Cloud Services DC1
3.112.21.102,443,JP,Amazon Data Services Japan
131.186.63.89,11655,JP,Oracle Public Cloud
140.83.56.110,56417,JP,imported inetnum object for OCPL1
139.162.84.132,18836,JP,Akamai Connected Cloud  Linode
217.142.243.98,51321,JP,Oracle Corporation
141.147.152.229,23333,JP,Oracle Corporation
43.133.10.236,33405,JP,6 COLLYER QUAY
64.176.40.224,3533,JP,Vultr Holdings LLC
38.180.28.163,2053,JP,3NT SOLUTIONS LLP
38.180.28.163,8443,JP,3NT SOLUTIONS LLP
64.110.104.30,443,JP,Oracle Corporation
82.163.16.69,8080,JP,AKILE LTD
217.142.236.93,443,JP,Oracle Svenska AB
152.69.192.40,57005,JP,Oracle Corporation
158.101.146.3,54516,JP,Oracle Public Cloud
141.147.161.249,51037,JP,Oracle Corporation
168.138.192.16,54584,JP,Oracle Public Cloud
168.138.193.174,11959,JP,Oracle Public Cloud
168.138.198.7,27560,JP,Oracle Public Cloud
168.138.46.67,443,JP,Oracle Public Cloud
176.97.70.51,2053,JP,3nt solutions LLP
158.101.152.6,2919,JP,Oracle Public Cloud
45.76.198.248,443,JP,Vultr Holdings LLC
141.147.183.49,29876,JP,Oracle Corporation
141.147.144.15,13357,JP,Oracle Corporation
103.238.129.215,42734,JP,IPX
152.69.199.70,8443,JP,Oracle Corporation
212.52.0.61,1846,JP,Prinode AB
138.2.10.217,27446,JP,Oracle Corporation
64.176.39.147,16387,JP,The Constant Company LLC
217.142.230.253,587,JP,Oracle Corporation
198.13.42.58,32954,JP,Vultr Holdings LLC
138.2.32.76,15821,JP,Oracle Corporation
140.83.57.114,25965,JP,imported inetnum object for OCPL1
139.162.102.152,7002,JP,Akamai Connected Cloud  Linode
168.138.197.147,12345,JP,Oracle Public Cloud
45.77.25.6,48828,JP,Vultr Holdings LLC
168.138.201.35,36637,JP,Cloudflare London LLC
140.83.37.134,46478,JP,imported inetnum object for OCPL1
1.214.208.5,50000,KR,LG DACOM Corporation
138.2.48.109,26412,JP,Oracle Corporation
45.77.25.6,27854,JP,Vultr Holdings LLC
141.147.178.249,37043,JP,Oracle Corporation
150.230.204.21,10243,JP,Oracle Corporation
138.2.59.96,10129,JP,Oracle Corporation
141.98.197.101,11665,JP,xTom Japan Corporation
138.2.49.197,587,JP,Oracle Corporation
188.240.213.127,2053,KG,RCS Technologies FZE LLC
64.110.101.90,55007,JP,Oracle Corporation
1.215.12.155,50001,KR,LG DACOM Corporation
217.29.23.169,443,KG,Saimanet Telecomunications
102.214.69.26,8443,KE,Servercore Africa Ltd
217.142.250.195,587,JP,Oracle Corporation
158.101.154.245,47001,JP,Oracle Public Cloud
182.212.76.41,50001,KR,LG POWERCOMM
182.231.198.88,16026,KR,LG POWERCOMM
182.208.209.54,50001,KR,LG POWERCOMM
182.208.209.54,50000,KR,LG POWERCOMM
183.100.116.217,50001,KR,Korea Telecom
183.100.116.217,50000,KR,Korea Telecom
182.31.122.164,12574,KR,Seokyung Cable Television Co Ltd
182.31.70.92,12336,KR,Seokyung Cable Television Co Ltd
182.31.70.92,12147,KR,Seokyung Cable Television Co Ltd
103.86.44.120,65432,KR,MOACK DC
183.101.243.99,12576,KR,Korea Telecom
183.101.244.245,50000,KR,Korea Telecom
183.103.92.163,50000,KR,Korea Telecom
183.102.55.197,10013,KR,Korea Telecom
183.104.0.181,16923,KR,Korea Telecom
183.102.55.197,16026,KR,Korea Telecom
183.108.118.164,50000,KR,Korea Telecom
183.104.223.227,50000,KR,Korea Telecom
183.106.76.116,10001,KR,Korea Telecom
183.106.76.116,29429,KR,Korea Telecom
183.106.76.116,10007,KR,Korea Telecom
183.106.76.116,20332,KR,Korea Telecom
183.106.76.116,12112,KR,Korea Telecom
183.106.76.116,10030,KR,Korea Telecom
183.106.76.116,34599,KR,Korea Telecom
183.109.161.20,21572,KR,Korea Telecom
183.109.171.233,50001,KR,Korea Telecom
183.109.161.20,16120,KR,Korea Telecom
183.96.245.165,50001,KR,Korea Telecom
183.97.75.31,50001,KR,Korea Telecom
183.96.81.113,50000,KR,Korea Telecom
183.102.55.197,12208,KR,Korea Telecom
183.102.55.197,12559,KR,Korea Telecom
111.118.118.177,16098,KR,HYUNDAI COMMUNICATIONS   NETWORK
106.245.165.137,50001,KR,LG DACOM Corporation
106.248.57.44,50000,KR,LG DACOM Corporation
110.11.180.73,50001,KR,SK Broadband Co Ltd
39.119.65.17,50000,KR,SK Broadband Co Ltd
183.99.23.61,12260,KR,Korea Telecom
39.119.65.17,50001,KR,SK Broadband Co Ltd
39.116.245.197,50000,KR,SK Broadband Co Ltd
183.99.252.103,12438,KR,Korea Telecom
39.116.217.120,50001,KR,SK Broadband Co Ltd
112.151.246.54,20500,KR,LG POWERCOMM
106.245.216.35,50001,KR,LG DACOM Corporation
106.241.78.205,13722,KR,LG DACOM Corporation
106.241.78.205,11001,KR,LG DACOM Corporation
106.241.78.205,12239,KR,LG DACOM Corporation
106.241.78.205,12107,KR,LG DACOM Corporation
111.118.118.177,10014,KR,HYUNDAI COMMUNICATIONS   NETWORK
111.118.118.177,12319,KR,HYUNDAI COMMUNICATIONS   NETWORK
111.118.118.177,36167,KR,HYUNDAI COMMUNICATIONS   NETWORK
111.118.118.177,12399,KR,HYUNDAI COMMUNICATIONS   NETWORK
111.118.118.177,22222,KR,HYUNDAI COMMUNICATIONS   NETWORK
111.91.187.73,50005,KR,Korea Cable TV Kwangju Broadcasting
39.116.217.120,50000,KR,SK Broadband Co Ltd
111.91.159.49,30048,KR,Korea Cable TV Kwangju Broadcasting
39.118.46.193,12131,KR,SK Broadband Co Ltd
112.148.30.216,50001,KR,LG POWERCOMM
112.156.154.95,30067,KR,LG POWERCOMM
112.160.4.111,39422,KR,Korea Telecom
112.151.246.54,12215,KR,LG POWERCOMM
112.155.196.229,50000,KR,LG POWERCOMM
112.161.226.144,50000,KR,Korea Telecom
112.151.246.54,10380,KR,LG POWERCOMM
112.160.4.111,12306,KR,Korea Telecom
112.162.27.122,50001,KR,Korea Telecom
112.163.43.32,50001,KR,Korea Telecom
112.165.52.204,50000,KR,Korea Telecom
112.166.47.132,50000,KR,Korea Telecom
112.166.190.53,50000,KR,Korea Telecom
112.172.38.246,18049,KR,Korea Telecom
112.172.38.246,12346,KR,Korea Telecom
112.172.38.246,10554,KR,Korea Telecom
112.186.12.243,50001,KR,Korea Telecom
112.186.81.24,12125,KR,Korea Telecom
112.167.55.103,12334,KR,Korea Telecom
112.168.91.60,12292,KR,Korea Telecom
112.168.173.214,50000,KR,Korea Telecom
112.173.185.16,30010,KR,Korea Telecom
112.168.174.249,12299,KR,Korea Telecom
112.170.112.178,36702,KR,Korea Telecom
112.184.45.203,50000,KR,Korea Telecom
112.170.112.178,21084,KR,Korea Telecom
112.170.112.178,12468,KR,Korea Telecom
112.170.112.178,12404,KR,Korea Telecom
112.186.236.43,18045,KR,Korea Telecom
112.168.173.214,50001,KR,Korea Telecom
112.170.112.178,27621,KR,Korea Telecom
112.186.212.12,50000,KR,Korea Telecom
112.185.95.169,50001,KR,Korea Telecom
112.222.49.250,50000,KR,LG DACOM Corporation
112.170.112.178,15846,KR,Korea Telecom
112.170.112.178,27248,KR,Korea Telecom
112.222.129.170,50001,KR,LG DACOM Corporation
112.186.236.43,12449,KR,Korea Telecom
112.187.7.220,50000,KR,Korea Telecom
112.170.112.178,28154,KR,Korea Telecom
112.184.234.66,22105,KR,Korea Telecom
112.167.135.13,50000,KR,Korea Telecom
112.221.62.210,50000,KR,LG DACOM Corporation
112.170.112.178,27023,KR,Korea Telecom
112.184.95.71,10010,KR,Korea Telecom
112.219.152.250,50001,KR,LG DACOM Corporation
112.186.236.43,16993,KR,Korea Telecom
112.186.236.43,12460,KR,Korea Telecom
112.186.236.43,12278,KR,Korea Telecom
112.223.172.3,50000,KR,LG DACOM Corporation
114.203.105.106,50000,KR,SK Broadband Co Ltd
114.202.124.72,50000,KR,SK Broadband Co Ltd
115.20.135.212,50000,KR,Korea Telecom
115.21.156.38,50001,KR,Korea Telecom
116.47.199.34,50000,KR,LG POWERCOMM
116.43.151.23,50001,KR,LG POWERCOMM
115.23.58.244,50000,KR,Korea Telecom
115.93.169.180,50000,KR,LG DACOM Corporation
116.44.53.251,12454,KR,LG POWERCOMM
115.93.13.212,50001,KR,LG DACOM Corporation
117.20.214.102,50001,KR,HYUNDAI COMMUNICATIONS   NETWORK
116.35.98.234,31159,KR,LG POWERCOMM
115.95.176.24,30059,KR,LG DACOM Corporation
115.20.202.6,50003,KR,Korea Telecom
117.20.214.102,50000,KR,HYUNDAI COMMUNICATIONS   NETWORK
118.218.193.166,12129,KR,SK Broadband Co Ltd
118.223.252.190,50001,KR,SK Broadband Co Ltd
115.95.176.24,30064,KR,LG DACOM Corporation
115.40.244.240,23023,KR,LG HelloVision Corp
115.40.28.225,35342,KR,LG HelloVision Corp
118.131.232.132,30063,KR,LG DACOM Corporation
115.40.244.240,11211,KR,LG HelloVision Corp
118.218.193.166,10935,KR,SK Broadband Co Ltd
115.40.244.240,12696,KR,LG HelloVision Corp
115.40.244.240,18888,KR,LG HelloVision Corp
118.139.209.196,10293,KR,LG HelloVision Corp
114.202.124.72,50001,KR,SK Broadband Co Ltd
118.139.209.196,10022,KR,LG HelloVision Corp
116.93.199.28,30012,KR,SK Broadband Co Ltd
116.93.199.28,12020,KR,SK Broadband Co Ltd
116.44.53.251,12126,KR,LG POWERCOMM
118.35.208.37,12347,KR,Korea Telecom
117.16.21.212,38821,KR,Korean Education Network
118.32.91.200,10010,KR,Korea Telecom
115.40.28.225,14147,KR,LG HelloVision Corp
119.194.79.217,30501,KR,Korea Telecom
119.194.79.217,12123,KR,Korea Telecom
119.195.219.150,10065,KR,Korea Telecom
119.197.79.119,10250,KR,Korea Telecom
119.195.168.105,10030,KR,Korea Telecom
119.195.168.105,12336,KR,Korea Telecom
121.130.68.136,50000,KR,Korea Telecom
119.197.255.195,50000,KR,Korea Telecom
119.196.21.70,19871,KR,Korea Telecom
119.200.0.16,50000,KR,Korea Telecom
119.201.195.135,10001,KR,Korea Telecom
119.205.75.38,10049,KR,Korea Telecom
119.206.2.42,50000,KR,Korea Telecom
121.149.121.84,12144,KR,Korea Telecom
121.149.121.84,11065,KR,Korea Telecom
121.149.121.84,12203,KR,Korea Telecom
121.149.121.84,12169,KR,Korea Telecom
121.149.121.84,11082,KR,Korea Telecom
121.149.121.84,12186,KR,Korea Telecom
121.149.121.84,10093,KR,Korea Telecom
14.47.175.40,12460,KR,Korea Telecom
210.178.75.228,12615,KR,Korea Telecom
210.222.78.191,10010,KR,Korea Telecom
210.99.119.3,50000,KR,Korea Telecom
210.222.78.191,10008,KR,Korea Telecom
210.222.78.191,12371,KR,Korea Telecom
210.123.51.149,32102,KR,Korea Telecom
211.248.90.150,13722,KR,Korea Telecom
211.230.225.178,12195,KR,Korea Telecom
211.253.196.188,12391,KR,Korea Telecom
211.253.196.188,30021,KR,Korea Telecom
211.33.238.198,11182,KR,Korea Telecom
211.33.238.198,15151,KR,Korea Telecom
211.253.196.188,21396,KR,Korea Telecom
211.33.238.198,12256,KR,Korea Telecom
211.253.196.188,50000,KR,Korea Telecom
211.33.238.198,12330,KR,Korea Telecom
211.33.238.198,12392,KR,Korea Telecom
211.33.238.198,20100,KR,Korea Telecom
211.33.238.198,12295,KR,Korea Telecom
211.48.77.114,12312,KR,Korea Telecom
211.46.71.98,50001,KR,Korea Telecom
211.253.196.188,30106,KR,Korea Telecom
211.51.176.6,30059,KR,Korea Telecom
211.33.238.198,21321,KR,Korea Telecom
211.57.90.42,50000,KR,Korea Telecom
211.57.29.229,12141,KR,Korea Telecom
58.78.224.238,50000,KR,LG POWERCOMM
168.126.210.143,10162,KR,Korea Telecom
168.126.210.143,22455,KR,Korea Telecom
168.126.210.143,25105,KR,Korea Telecom
168.126.210.143,12567,KR,Korea Telecom
168.126.210.143,16100,KR,Korea Telecom
168.126.210.143,12403,KR,Korea Telecom
218.54.55.117,12176,KR,SK Broadband Co Ltd
218.54.200.64,12194,KR,SK Broadband Co Ltd
218.152.153.20,12459,KR,Korea Telecom
218.148.208.2,12259,KR,Korea Telecom
220.118.109.204,12236,KR,Korea Telecom
220.118.236.239,12290,KR,Korea Telecom
218.152.153.20,12105,KR,Korea Telecom
218.152.153.20,13333,KR,Korea Telecom
220.120.139.237,11211,KR,Korea Telecom
220.118.236.239,36422,KR,Korea Telecom
220.116.195.147,50000,KR,Korea Telecom
220.120.139.237,12181,KR,Korea Telecom
220.120.139.237,10250,KR,Korea Telecom
220.120.139.237,12189,KR,Korea Telecom
220.125.55.47,12251,KR,Korea Telecom
220.75.186.189,50000,KR,Korea Telecom
220.72.161.178,12292,KR,Korea Telecom
220.77.2.235,12331,KR,Korea Telecom
220.77.2.235,12264,KR,Korea Telecom
220.84.16.70,50000,KR,Korea Telecom
220.79.29.86,28443,KR,Korea Telecom
220.81.82.20,50000,KR,Korea Telecom
220.77.102.95,50000,KR,Korea Telecom
220.80.75.163,10026,KR,Korea Telecom
220.92.146.161,50000,KR,Korea Telecom
220.84.16.70,50001,KR,Korea Telecom
220.89.78.107,50000,KR,Korea Telecom
220.88.250.117,10810,KR,Korea Telecom
220.79.29.86,12404,KR,Korea Telecom
221.148.135.215,50001,KR,Korea Telecom
220.90.247.28,50000,KR,Korea Telecom
221.145.181.124,10081,KR,Korea Telecom
220.94.34.138,21254,KR,Korea Telecom
221.145.181.124,10011,KR,Korea Telecom
220.79.29.86,12484,KR,Korea Telecom
220.94.70.154,50000,KR,Korea Telecom
220.79.29.86,16040,KR,Korea Telecom
221.149.11.173,15679,KR,Korea Telecom
220.92.80.44,50000,KR,Korea Telecom
221.149.11.173,35591,KR,Korea Telecom
221.149.146.104,17010,KR,Korea Telecom
220.88.250.117,12359,KR,Korea Telecom
220.92.146.161,50001,KR,Korea Telecom
220.93.227.79,50000,KR,Korea Telecom
221.145.181.124,30012,KR,Korea Telecom
221.154.230.189,50001,KR,Korea Telecom
221.154.230.189,50000,KR,Korea Telecom
221.163.173.252,50000,KR,Korea Telecom
221.154.46.231,50000,KR,Korea Telecom
221.156.150.179,12294,KR,Korea Telecom
221.156.150.179,10333,KR,Korea Telecom
221.159.163.60,50000,KR,Korea Telecom
221.159.156.189,50000,KR,Korea Telecom
221.164.165.14,50000,KR,Korea Telecom
221.158.4.230,12019,KR,Korea Telecom
221.157.224.46,36983,KR,Korea Telecom
221.155.140.147,12204,KR,Korea Telecom
221.158.4.230,17779,KR,Korea Telecom
221.157.224.46,16098,KR,Korea Telecom
222.106.126.224,10010,KR,Korea Telecom
222.102.137.152,10256,KR,Korea Telecom
222.104.130.83,50000,KR,Korea Telecom
